0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273
"Continue generating synthetic applicant information in the following format:
AppID", Ins_Age, Ins_Gender, Ht, Wt," Issue_Date
Where:
AppID: Anonymized Applicant ID
Ins_Age: Applicant Age
Ins_Gender: Applicant Gender (Male/Female)
Ht: Height in the format '507' which means 5 feet 7 inches
Wt: Weight of the Applicant in pounds
Issue_Date: Date of Application in YYYY-MM-DD format
Example Data:
001",25,Male,507,150,"2022-01-01
002",30,Female,502,130,"2022-02-01
003",22,Male,510,180,"2022-03-01
004",28,Female,505,120,"2022-04-01
005",35,Male,600,200,"2022-05-01
006",40,Female,619,160,"2022-06-01
007",57,Female,732,180,"2022-07-01
008",59,Female,610,240,"2022-08-01
009",73,Female,640,280,"2022-09-01
010",72,Female,645,280,"2022-10-01
011",73,Female,665,280,"2022-11-01
012",74,Female,670,280,"2022-12-01
013",74,Female,680,280,"2022-13-01
014",74,Female,690,280,"2022-14-01
015",74,Female,700,280,"2022-15-01
015",74,Female,710,280,"2022-16-01
016",74,Female,720,280,"2022-17-01
017",76,Female,720,280,"2022-18-01
018",76,Female,730,280,"2022-19-01
019",75,Female,730,280,"2022-20-01
020",75,Female,730,280,"2022-21-01
021",76,Female,730,280,"2022-22-01
022",75,Female,730,280,"2022-23-01
023",76,Female,730,280,"2022-24-01
024",76,Female,730,280,"2022-25-01
025",76,Female,730,280,"2022-26-01
026",77,Female,730,280,"2022-27-01
027",77,Female,730,280,"2022-28-01
028",76,Female,730,280,"2022-29-01
029",77,Female,730,280,"2022-30-01
030",77,Female,730,280,"2022-31-01
031",78,Female,730,280,"2022-32-01
032",78,Female,730,280,"2022-33-01
033",78,Female,730,280,"2022-34-01
034",78,Female,730,280,"2022-35-01
035",78,Female,730,280,"2022-36-01
036",79,Female,730,280,"2022-37-01
037",79,Female,730,280,"2022-38-01
038",79,Female,730,280,"2022-39-01
039",79,Female,730,280,"2022-40-01
040",79,Female,730,280,"2022-41-01
041",79,Female,730,280,"2022-42-01
042",78,Female,730,280,"2022-43-01
043",78,Female,730,280,"2022-44-01
044",78,Female,730,280,"2022-45-01
045",78,Female,730,280,"2022-46-01
046",78,Female,730,280,"2022-47-01
047",78,Female,730,280,"2022-48-01
048",78,Female,730,280,"2022-49-01
050",78,Female,730,280,"2022-50-01
051",79,Male,610,240,"2022-51-01
052",79,Male,610,240,"2022-52-01
053",79,Male,610,240,"2022-53-01
054",,,
"Continue generating synthetic applicant information in the following format:
AppID", Ins_Age, Ins_Gender, Ht, Wt," Issue_Date
Where:
AppID: Anonymized Applicant ID
Ins_Age: Applicant Age
Ins_Gender: Applicant Gender (Male/Female)
Ht: Height in the format '507' which means 5 feet 7 inches
Wt: Weight of the Applicant in pounds
Issue_Date: Date of Application in YYYY-MM-DD format
Example Data:
001",25,Male,507,150,"2022-01-01
002",30,Female,502,130,"2022-02-01
003",22,Male,510,180,"2022-03-01
004",28,Female,505,120,"2022-04-01
005",35,Male,600,200,"2022-05-01
006",27,Male,611,300,"2022-06-01
007",27,Female,620,320,"2022-07-01
008",27,Male,660,320,"2022-08-01
009",27,Female,680,320,"2022-09-01
010",27,Female,680,320,"2022-10-01
011",30,Male,610,200,"2022-11-01
012",27,Female,730,300,"2022-12-01
013",27,Female,630,300,"2022-13-01
014",27,Female,690,300,"2022-14-01
015",27,Female,690,300,"2022-15-01
016",27,Female,690,300,"2022-16-01
017",29,Male,611,400,"2022-17-01
018",28,Male,690,300,"2022-18-01
019",29,Female,690,300,"2022-19-01
020",28,Male,610,200,"2022-20-01
021",27,Female,630,300,"2022-21-01
022",28,Male,610,200,"2022-22-01
023",27,Female,610,200,"2022-23-01
024",27,Female,610,200,"2022-24-01
025",27,Female,610,200,"2022-25-01
026",28,Male,610,200,"2022-26-01
027",28,Male,610,200,"2022-27-01
028",27,Female,610,200,"2022-28-01
029",28,Male,610,200,"2022-29-01
030",28,Male,610,200,"2022-30-01
031",27,Female,610,200,"2022-31-01
032",27,Female,610,200,"2022-32-01
033",27,Female,610,200,"2022-33-01
034",27,Female,610,200,"2022-34-01
035",27,Female,610,200,"2022-35-01
036",28,Male,610,200,"2022-36-01
037",28,Male,610,200,"2022-37-01
038",28,Male,610,200,"2022-38-01
039",28,Male,610,200,"2022-39-01
040",27,Female,610,200,"2022-40-01
041",27,Female,610,200,"2022-41-01
042",27,Female,610,200,"2022-43-01
043",28,Female,610,200,"2022-44-01
044",27,Female,610,200,"2022-45-01
045",27,Female,610,200,"2022-46-01
046",27,Female,610,200,"2022-47-01
047",27,Female,610,200,"2022-48-01
048",27,Female,610,200,"2022-49-01
047",27,Female,610,200,"2022-50-01
048",27,Female,610,200,"2022-51-01
049",27,Female,610,200,"2022-52-01
050",27,Female,610,200,"2022-53-01
051",27,Female,610,200,"2022-54-01
050",27,,
"Continue generating synthetic applicant information in the following format:
AppID", Ins_Age, Ins_Gender, Ht, Wt," Issue_Date
Where:
AppID: Anonymized Applicant ID
Ins_Age: Applicant Age
Ins_Gender: Applicant Gender (Male/Female)
Ht: Height in the format '507' which means 5 feet 7 inches
Wt: Weight of the Applicant in pounds
Issue_Date: Date of Application in YYYY-MM-DD format
Example Data:
001",25,Male,507,150,"2022-01-01
002",30,Female,502,130,"2022-02-01
003",22,Male,510,180,"2022-03-01
004",28,Female,505,120,"2022-04-01
005",35,Male,600,200,"2022-05-01
006",50,Female,810,180,"2022-06-01
007",36,Male,610,200,"2022-07-01
008",56,Male,610,240,"2022-08-01
009",62,Male,610,360,"2022-09-01
010",60,Female,610,320,"2022-10-01
011",80,Male,610,380,"2022-11-01
012",90,Male,610,540,"2022-12-01
013",100,Female,610,540,"2022-13-01
014",120,Female,610,540,"2022-14-01
015",160,Female,610,540,"2022-15-01
016",180,Male,610,450,"2022-16-01
017",200,Female,610,450,"2022-17-01
018",250,Female,610,450,"2022-18-01
019",270,Male,610,450,"2022-19-01
020",300,Female,610,450,"2022-20-01
021",300,Female,610,450,"2022-21-01
022",350,Female,610,450,"2022-22-01
023",400,Female,610,450,"2022-23-01
024",350,Female,610,450,"2022-24-01
025",350,Female,610,450,"2022-25-01
026",450,Female,610,450,"2022-26-01
027",450,Female,610,450,"2022-27-01
028",500,Female,610,450,"2022-28-01
029",700,Female,610,450,"2022-29-01
030",700,Female,610,450,"2022-30-01
031",200,Female,610,450,"2022-31-01
032",200,Female,610,450,"2022-32-01
033",400,Female,610,450,"2022-33-01
034",400,Female,610,450,"2022-34-01
035",400,Female,610,450,"2022-35-01
036",450,Female,610,450,"2022-36-01
037",500,Female,610,450,"2022-37-01
038",500,Female,610,450,"2022-38-01
039",400,Female,610,450,"2022-39-01
040",800,Female,610,450,"2022-40-01
041",700,Female,610,450,"2022-41-01
042",500,Female,610,450,"2022-42-01
043",400,Female,610,450,"2022-43-01
044",400,Female,610,450,"2022-44-01
045",400,Female,610,450,"2022-45-01
046",200,Female,610,450,"2022-46-01
047",600,Female,610,450,"2022-47-01
048",600,Female,610,450,"2022-48-01
050",600,Female,610,450,"2022-48-01
051",400,Female,610,450,"2022-49-01
052",600,Female,610,450,"2022-50-01
053",400,Female,610,450,"2022-51-01
054",400,Female,610,450,"2022-52-01
055",600,Female,
"Continue generating synthetic applicant information in the following format:
AppID", Ins_Age, Ins_Gender, Ht, Wt," Issue_Date
Where:
AppID: Anonymized Applicant ID
Ins_Age: Applicant Age
Ins_Gender: Applicant Gender (Male/Female)
Ht: Height in the format '507' which means 5 feet 7 inches
Wt: Weight of the Applicant in pounds
Issue_Date: Date of Application in YYYY-MM-DD format
Example Data:
001",25,Male,507,150,"2022-01-01
002",30,Female,502,130,"2022-02-01
003",22,Male,510,180,"2022-03-01
004",28,Female,505,120,"2022-04-01
005",35,Male,600,200,"2022-05-01
006",30,Female,610,120,"2022-06-01
007",30,Female,610,180,"2022-07-01
008",22,Male,820,200,"2022-08-01
009",30,Female,820,180,"2022-09-01
010",45,Male,820,290,"2022-10-01
011",30,Female,820,290,"2022-11-01
012",45,Male,820,510,180,"2022-12-01
013",45,Male,620,300,"2022-13-01
014",30,Female,690,180,"2022-14-01
015",30,Female,690,170,"2022-15-01
016",30,Female,690,170,"2022-16-01
017",45,Male,620,300,"2022-17-01
018",30,Female,690,170,"2022-18-01
019",45,Male,620,500,"2022-19-01
020",45,Male,620,500,"2022-20-01
021",45,Male,620,500,"2022-21-01
022",45,Male,620,500,"2022-22-01
023",45,Male,620,500,"2022-23-01
024",45,Male,620,500,"2022-24-01
025",45,Male,620,500,"2022-25-01
026",45,Male,620,500,"2022-26-01
027",45,Male,620,500,"2022-27-01
028",45,Male,620,500,"2022-28-01
029",45,Male,620,500,"2022-29-01
030",45,Male,620,500,"2022-30-01
031",45,Male,620,500,"2022-31-01
032",45,Male,620,500,"2022-32-01
033",45,Male,620,500,"2022-33-01
034",45,Male,620,500,"2022-34-01
035",45,Male,620,500,"2022-35-01
036",45,Male,620,500,"2022-36-01
037",45,Male,620,500,"2022-37-01
038",45,Male,620,500,"2022-38-01
039",45,Male,620,500,"2022-39-01
040",45,Male,620,500,"2022-40-01
041",45,Male,620,500,"2022-41-01
042",45,Male,620,500,"2022-42-01
043",45,Male,620,500,"2022-43-01
044",45,Male,620,500,"2022-44-01
045",45,Male,620,500,"2022-45-01
046",45,Male,620,500,"2022-46-01
047",45,Male,620,500,"2022-47-01
048",45,Male,620,500,"2022-48-01
050",45,Male,620,500,"2022-49-01
051",45,Male,620,500,"2022-50-01
052",45,Male,620,500,"2022-51-01
053",45,Male,620,500,"2022-52-01
054",45,Male,620,500,"2022-53-01
055",,
"Continue generating synthetic applicant information in the following format:
AppID", Ins_Age, Ins_Gender, Ht, Wt," Issue_Date
Where:
AppID: Anonymized Applicant ID
Ins_Age: Applicant Age
Ins_Gender: Applicant Gender (Male/Female)
Ht: Height in the format '507' which means 5 feet 7 inches
Wt: Weight of the Applicant in pounds
Issue_Date: Date of Application in YYYY-MM-DD format
Example Data:
001",25,Male,507,150,"2022-01-01
002",30,Female,502,130,"2022-02-01
003",22,Male,510,180,"2022-03-01
004",28,Female,505,120,"2022-04-01
005",35,Male,600,200,"2022-05-01
006",38,Female,700,200,"2022-06-01
007",47,Male,600,300,"2022-07-01
008",50,Female,900,300,"2022-08-01
009",53,Male,600,300,"2022-09-01
010",54,Male,600,300,"2022-10-01
011",55,Male,600,300,"2022-11-01
012",57,Male,600,300,"2022-12-01
013",59,Male,600,300,"2022-13-01
014",59,Male,600,300,"2022-14-01
015",59,Male,600,300,"2022-15-01
016",59,Male,600,300,"2022-16-01
017",59,Male,600,300,"2022-17-01
018",59,Male,600,300,"2022-18-01
019",59,Male,600,300,"2022-19-01
020",57,Male,600,300,"2022-20-01
021",58,Male,600,300,"2022-21-01
022",58,Male,600,300,"2022-22-01
023",58,Male,600,300,"2022-23-01
024",58,Male,600,300,"2022-24-01
025",58,Male,600,300,"2022-25-01
026",58,Male,600,300,"2022-26-01
027",58,Male,600,300,"2022-27-01
028",58,Male,600,300,"2022-28-01
029",58,Male,600,300,"2022-29-01
030",58,Male,600,300,"2022-30-01
031",58,Male,600,300,"2022-31-01
032",58,Male,600,300,"2022-32-01
033",58,Male,600,300,"2022-33-01
034",58,Male,600,300,"2022-34-01
035",58,Male,600,300,"2022-35-01
036",58,Male,600,300,"2022-36-01
037",58,Male,600,300,"2022-37-01
039",58,Male,600,300,"2022-38-01
039",58,Male,600,300,"2022-39-01
039",58,Male,600,300,"2022-40-01
039",58,Male,600,300,"2022-41-01
039",58,Male,600,300,"2022-42-01
039",58,Male,600,300,"2022-43-01
039",58,Male,600,300,"2022-44-01
039",58,Male,600,300,"2022-45-01
039",58,Male,600,300,"2022-46-01
039",58,Male,600,300,"2022-47-01
039",58,Male,600,300,"2022-48-01
039",58,Male,600,300,"2022-49-01
039",58,Male,600,300,"2022-50-01
039",58,Male,600,300,"2022-51-01
039",58,Male,600,300,"2022-52-01
039",58,Male,600,300,2022,,,
"Continue generating synthetic applicant information in the following format:
AppID", Ins_Age, Ins_Gender, Ht, Wt," Issue_Date
Where:
AppID: Anonymized Applicant ID
Ins_Age: Applicant Age
Ins_Gender: Applicant Gender (Male/Female)
Ht: Height in the format '507' which means 5 feet 7 inches
Wt: Weight of the Applicant in pounds
Issue_Date: Date of Application in YYYY-MM-DD format
Example Data:
001",25,Male,507,150,"2022-01-01
002",30,Female,502,130,"2022-02-01
003",22,Male,510,180,"2022-03-01
004",28,Female,505,120,"2022-04-01
005",35,Male,600,200,"2022-05-01
006",50,Female,620,150,"2022-06-01
007",50,Female,827,140,"2022-07-01
008",75,Female,904,140,"2022-08-01
009",50,Female,990,200,"2022-09-01
00:00:00.000000000
00:00:00.000000000
00:00:00.000000000
00:00:00.000000000
00:00:00.000000000
00:00:00.000000000
00:00:00.000000000
00:00:00.000000000
00:00:00.000000000
00:00:00.000000000
00:00:00.000000000
00:00:00.000000000
00:00:00.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Continue generating synthetic applicant information in the following format:
AppID", Ins_Age, Ins_Gender, Ht, Wt," Issue_Date
Where:
AppID: Anonymized Applicant ID
Ins_Age: Applicant Age
Ins_Gender: Applicant Gender (Male/Female)
Ht: Height in the format '507' which means 5 feet 7 inches
Wt: Weight of the Applicant in pounds
Issue_Date: Date of Application in YYYY-MM-DD format
Example Data:
001",25,Male,507,150,"2022-01-01
002",30,Female,502,130,"2022-02-01
003",22,Male,510,180,"2022-03-01
004",28,Female,505,120,"2022-04-01
005",35,Male,600,200,"2022-05-01
006",45,Female,705,130,"2022-06-01
007",50,Male,700,300,"2022-07-01
008",55,Female,902,300,"2022-08-01
009",55,Female,908,350,"2022-09-01
010",40,Male,1,500,300,"2022-10-01
011",50,Female,10,300,"2022-11-01
012",50,Female,1,500,300,"2022-12-01
013",50,Female,1,500,300,"2022-13-01
014",50,Female,10,300,"2022-14-01
015",50,Female,10,300,"2022-15-01
016",50,Female,10,300,"2022-16-01
017",50,Female,10,300,"2022-17-01
018",50,Female,10,300,"2022-18-01
019",50,Female,10,300,"2022-19-01
020",50,Female,10,300,"2022-20-01
021",50,Female,10,300,"2022-21-01
022",50,Female,10,300,"2022-22-01
023",50,Female,10,300,"2022-23-01
024",50,Female,10,300,"2022-24-01
025",50,Female,10,300,"2022-25-01
026",50,Female,10,300,"2022-26-01
027",50,Female,10,300,"2022-27-01
028",50,Female,10,300,"2022-28-01
029",50,Female,10,300,"2022-29-01
030",50,Female,10,300,"2022-30-01
031",50,Female,10,300,"2022-31-01
032",50,Female,10,300,"2022-32-01
033",50,Female,10,300,"2022-33-01
034",50,Female,10,300,"2022-34-01
035",50,Female,10,300,"2022-35-01
036",50,Female,10,300,"2022-36-01
037",50,Female,10,300,"2022-37-01
038",50,Female,10,300,"2022-38-01
039",50,Female,10,300,"2022-39-01
040",50,Female,10,300,"2022-40-01
041",50,Female,10,300,"2022-41-01
044",50,Female,10,300,"2022-42-01
045",50,Female,10,300,"2022-43-01
046",50,Female,10,300,"2022-44-01
047",50,Female,10,300,"2022-45-01
048",50,Female,10,300,"2022-46-01
049",50,Female,10,300,"2022-47-01
050",50,Female,10,300,"2022-48-01
051",50,Female,10,300,"2022-49-01
052",50,Female,10,300,"2022-50-01
053",50,Female,10,300,"2022-51-01
054",50,Female,10,300,"2022-52-01
055",50,Female,10,300,2022
"Continue generating synthetic applicant information in the following format:
AppID", Ins_Age, Ins_Gender, Ht, Wt," Issue_Date
Where:
AppID: Anonymized Applicant ID
Ins_Age: Applicant Age
Ins_Gender: Applicant Gender (Male/Female)
Ht: Height in the format '507' which means 5 feet 7 inches
Wt: Weight of the Applicant in pounds
Issue_Date: Date of Application in YYYY-MM-DD format
Example Data:
001",25,Male,507,150,"2022-01-01
002",30,Female,502,130,"2022-02-01
003",22,Male,510,180,"2022-03-01
004",28,Female,505,120,"2022-04-01
005",35,Male,600,200,"2022-05-01
006",41,Female,510,200,"2022-06-01
007",42,Female,510,200,"2022-07-01
008",54,Male,610,200,"2022-08-01
009",58,Female,610,200,"2022-09-01
010",69,Male,610,200,"2022-10-01
011",90,Female,610,200,"2022-11-01
012",96,Male,610,200,"2022-12-01
013",102,Male,610,200,"2022-13-01
014",102,Male,610,200,"2022-14-01
015",99,Male,610,200,"2022-15-01
016",102,Male,610,200,"2022-16-01
017",97,Male,610,200,"2022-17-01
018",84,Male,610,200,"2022-18-01
019",94,Male,610,200,"2022-19-01
020",79,Male,610,200,"2022-20-01
021",77,Male,610,200,"2022-21-01
022",73,Male,610,200,"2022-22-01
023",69,Male,610,200,"2022-23-01
024",74,Male,610,200,"2022-24-01
025",85,Male,610,200,"2022-25-01
026",74,Male,610,200,"2022-27-01
027",74,Male,610,200,"2022-28-01
028",74,Male,610,200,"2022-29-01
029",74,Male,610,200,"2022-30-01
030",79,Male,610,200,"2022-31-01
031",79,Male,610,200,"2022-32-01
032",79,Male,610,200,"2022-33-01
033",74,Male,610,200,"2022-34-01
034",79,Male,610,200,"2022-35-01
035",79,Male,610,200,"2022-36-01
036",79,Male,610,200,"2022-37-01
037",79,Male,610,200,"2022-38-01
038",69,Male,610,200,"2022-39-01
039",69,Male,610,200,"2022-40-01
039",69,Male,610,200,"2022-41-01
039",69,Male,610,200,"2022-42-01
039",69,Male,610,200,"2022-43-01
039",69,Male,610,200,"2022-44-01
039",69,Male,610,200,"2022-45-01
039",69,Male,610,200,"2022-46-01
039",69,Male,610,200,"2022-47-01
039",69,Male,610,200,"2022-48-01
039",69,Male,610,200,"2022-49-01
039",69,Male,610,200,"2022-50-01
039",69,Male,610,200,"2022-51-01
039",69,Male,610,200,"2022-52-01
039",69,Male,610,200,"2022-53-01
039",69,Male,610,200,2022,,,
"Continue generating synthetic applicant information in the following format:
AppID", Ins_Age, Ins_Gender, Ht, Wt," Issue_Date
Where:
AppID: Anonymized Applicant ID
Ins_Age: Applicant Age
Ins_Gender: Applicant Gender (Male/Female)
Ht: Height in the format '507' which means 5 feet 7 inches
Wt: Weight of the Applicant in pounds
Issue_Date: Date of Application in YYYY-MM-DD format
Example Data:
001",25,Male,507,150,"2022-01-01
002",30,Female,502,130,"2022-02-01
003",22,Male,510,180,"2022-03-01
004",28,Female,505,120,"2022-04-01
005",35,Male,600,200,"2022-05-01
006",28,Female,610,180,"2022-06-01
007",38,Male,610,240,"2022-07-01
008",40,Male,610,330,"2022-08-01
009",40,Male,610,360,"2022-09-01
010",50,Male,610,400,"2022-10-01
011",38,Male,610,430,"2022-11-01
012",38,Male,610,540,"2022-12-01
013",38,Male,610,530,"2022-13-01
014",38,Male,610,560,"2022-14-01
015",38,Male,610,560,"2022-15-01
016",38,Male,610,560,"2022-16-01
017",38,Male,610,560,"2022-17-01
018",38,Male,610,560,"2022-18-01
019",38,Male,610,560,"2022-19-01
020",38,Male,610,560,"2022-20-01
021",38,Male,610,560,"2022-21-01
022",38,Male,610,560,"2022-22-01
023",38,Male,610,560,"2022-24-01
024",38,Male,610,560,"2022-25-01
025",38,Male,610,560,"2022-26-01
026",38,Male,610,560,"2022-27-01
027",38,Male,610,560,"2022-28-01
028",38,Male,610,560,"2022-29-01
029",38,Male,610,560,"2022-30-01
030",38,Male,610,560,"2022-31-01
031",38,Male,610,560,"2022-32-01
032",38,Male,610,560,"2022-33-01
033",38,Male,610,560,"2022-34-01
034",38,Male,610,560,"2022-35-01
035",38,Male,610,560,"2022-36-01
036",38,Male,610,560,"2022-37-01
037",Male,610,560,"2022-38-01
038",Male,610,560,"2022-39-01
039",Male,610,560,"2022-40-01
040",Male,610,560,"2022-41-01
041",33,Male,610,560,"2022-42-01
042",33,Male,610,560,"2022-43-01
043",33,Male,610,560,"2022-44-01
044",33,Male,610,560,"2022-45-01
043",33,Male,610,560,"2022-46-01
044",33,Male,610,560,"2022-47-01
045",33,Male,610,560,"2022-48-01
046",33,Male,610,560,"2022-49-01
047",33,Male,610,560,"2022-50-01
048",33,Male,610,560,"2022-51-01
045",33,Male,610,560,"2022-52-01
046",33,Male,610,560,"2022-53-01
045",33,Male,610,560,"2022-54-01
046",33,Male,610,560,2022-,,
"Continue generating synthetic applicant information in the following format:
AppID", Ins_Age, Ins_Gender, Ht, Wt," Issue_Date
Where:
AppID: Anonymized Applicant ID
Ins_Age: Applicant Age
Ins_Gender: Applicant Gender (Male/Female)
Ht: Height in the format '507' which means 5 feet 7 inches
Wt: Weight of the Applicant in pounds
Issue_Date: Date of Application in YYYY-MM-DD format
Example Data:
001",25,Male,507,150,"2022-01-01
002",30,Female,502,130,"2022-02-01
003",22,Male,510,180,"2022-03-01
004",28,Female,505,120,"2022-04-01
005",35,Male,600,200,"2022-05-01
006",41,Female,510,180,"2022-06-01
007",42,Male,550,200,"2022-07-01
008",45,Female,550,120,"2022-08-01
009",46,Male,750,200,"2022-09-01
010",48,Male,550,200,"2022-10-01
011",43,Male,800,200,"2022-11-01
012",48,Male,600,200,"2022-12-01
013",51,Male,650,200,"2022-13-01
014",54,Male,800,200,"2022-14-01
015",59,Male,200,"2022-15-01
016",58,Male,600,200,"2022-16-01
017",59,Male,650,200,"2022-17-01
018",59,Male,650,200,"2022-18-01
019",59,Male,650,200,"2022-19-01
020",60,Male,750,200,"2022-20-01
021",60,Male,650,200,"2022-21-01
022",60,Male,650,200,"2022-22-01
023",60,Male,650,200,"2022-23-01
024",61,Male,650,200,"2022-24-01
025",61,Male,650,200,"2022-25-01
026",60,Male,650,200,"2022-26-01
027",59,Male,600,200,"2022-27-01
028",60,Male,650,200,"2022-28-01
029",60,Male,650,200,"2022-29-01
030",61,Male,600,200,"2022-30-01
031",61,Male,650,200,"2022-31-01
032",60,Male,650,200,"2022-32-01
033",61,Male,650,200,"2022-33-01
034",61,Male,650,200,"2022-34-01
035",61,Male,650,200,"2022-35-01
036",61,Male,650,200,"2022-36-01
037",61,Male,650,200,"2022-37-01
038",61,Male,650,200,"2022-38-01
039",61,Male,650,200,"2022-39-01
040",61,Male,600,200,"2022-40-01
041",61,Male,600,200,"2022-41-01
042",60,Male,650,200,"2022-42-01
043",61,Male,650,200,"2022-43-01
044",61,Male,650,200,"2022-44-01
046",61,Male,650,200,"2022-45-01
047",61,Male,600,200,"2022-46-01
048",60,Male,650,200,"2022-47-01
049",61,Male,650,200,"2022-48-01
050",61,Male,600,200,"2022-49-01
051",61,Male,550,200,"2022-50-01
052",61,Male,650,200,"2022-51-01
053",61,Male,500,200,"2022-52-01
054",60,Male,600,200,"2022-53-01
055",60,Male,,
